Model,Val Accuracy,Val F1-Score,Overfitting Gap,Training Time (min),score
LightGBM,0.7300564061240935,0.7290520422111709,0.046990455532610165,0.177935791015625,0.7055568144448658
XGBoost,0.729552780016116,0.7286422936975829,0.07141861195655697,3.4688707828521728,0.6929329877193044
Ensemble,0.7270346494762289,0.7259555173246146,0.054255380412754906,0.31761327584584553,0.6988278271182371
Random Forest,0.6490733279613216,0.6401212089037964,0.004734848810668213,1.3333914359410604,0.6377537844984623
